"grade","rank","math","verbal","prev","rdg","father","mother","gender"
1,0.8,460,390,FALSE,"Never","High School Diploma or GED","Some College","Male"
0,0.690647482014388,470,380,FALSE,"Never","Some College","Some College","Female"
0,0.510638297872340,580,640,FALSE,"Never","Some College","Some College","Male"
0,0.613821138211382,440,500,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.822147651006711,610,560,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.591549295774648,480,420,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.591549295774648,480,420,TRUE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.414529914529915,500,540,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.612903225806452,440,390,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.330434782608696,580,570,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.62015503875969,440,470,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.631578947368421,460,610,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.757142857142857,610,540,FALSE,"Never","Some College","Some College","Female"
0,0.409395973154362,500,450,FALSE,"Never","Some College","High School Diploma or GED","Male"
0,0.705,450,350,FALSE,"Never","Graduate/Professional degree","Some College","Female"
1,0.7,420,460,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
1,0.805555555555556,560,400,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
0,0.895,620,580,FALSE,"Never","High School Diploma or GED","Graduate/Professional degree","Female"
1,0.675675675675676,420,570,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.837209302325581,600,660,FALSE,"Never","High School Diploma or GED","Some College","Male"
1,0.933333333333333,580,560,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.666666666666667,450,370,FALSE,"Never","Some College","Bachelor Degree","Male"
1,0.415584415584416,480,430,FALSE,"Never","Some College","Some College","Male"
0,0.519540229885058,440,380,FALSE,"Passed","Bachelor Degree","Bachelor Degree","Male"
0,0.519540229885058,440,380,TRUE,"Passed","Bachelor Degree","Bachelor Degree","Male"
1,0.684684684684685,460,410,FALSE,"Never","Some College","Graduate/Professional degree","Female"
1,0.8,390,350,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
0,0.659090909090909,440,590,FALSE,"Never","High School Diploma or GED","Some High School","Female"
1,0.9125,520,390,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.866666666666667,660,530,FALSE,"Never","Not Available","Not Available","Female"
1,0.447447447447447,510,510,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
1,0.447447447447447,510,510,TRUE,"Never","High School Diploma or GED","Bachelor Degree","Male"
0,0.88235294117647,430,440,FALSE,"Never","Some High School","Some High School","Female"
0,0.88235294117647,430,440,TRUE,"Never","Some High School","Some High School","Female"
0,0.439862542955326,550,450,FALSE,"Never","Bachelor Degree","Some College","Male"
0,0.613636363636364,460,390,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Male"
1,0.931372549019608,620,460,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.558139534883721,410,430,FALSE,"Passed","Some College","High School Diploma or GED","Female"
0,0.893805309734513,480,350,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.789644012944984,440,440,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Female"
0,0.681818181818182,460,490,FALSE,"Never","Not Available","Not Available","Female"
0,0.681818181818182,460,490,TRUE,"Never","Not Available","Not Available","Female"
0,0.364864864864865,510,420,FALSE,"Never","Some College","Some College","Male"
1,0.5,440,470,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Male"
0,0.8,460,320,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.508130081300813,420,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.508130081300813,420,450,TRUE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.691919191919192,500,510,FALSE,"Never","Some College","Bachelor Degree","Male"
1,0.742774566473988,620,410,FALSE,"Never","Bachelor Degree","Some College","Male"
0,0.803986710963455,380,400,FALSE,"Never","Some College","High School Diploma or GED","Male"
0,0.252032520325203,440,430,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.401898734177215,480,390,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
0,0.5,460,490,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.5,460,490,TRUE,"Never","High School Diploma or GED","Some College","Female"
0,0.399390243902439,370,200,FALSE,"Passed","Some College","Some College","Male"
1,0.676056338028169,400,300,FALSE,"Never","Some High School","Some High School","Female"
1,0.5,520,430,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.669322709163347,470,500,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.526315789473684,420,430,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.373109243697479,540,500,FALSE,"Never","Not Available","Some College","Female"
0,0.52054794520548,320,460,FALSE,"Never","Some College","Graduate/Professional degree","Female"
0,0.29746835443038,390,520,FALSE,"Concurrent","Bachelor Degree","Some College","Male"
0,0.327433628318584,390,390,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
0,0.173913043478261,420,410,FALSE,"Passed","High School Diploma or GED","Some College","Male"
0,0.631578947368421,460,390,FALSE,"Passed","High School Diploma or GED","Bachelor Degree","Female"
1,0.807692307692308,580,540,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.479338842975207,510,410,FALSE,"Never","Some College","High School Diploma or GED","Male"
1,0.74496644295302,430,510,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.894736842105263,620,560,FALSE,"Never","Some College","Bachelor Degree","Male"
1,0.425724637681159,580,510,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.209248554913295,510,480,FALSE,"Never","Some College","Some High School","Male"
0,0.625292740046838,530,350,FALSE,"Never","Some College","Graduate/Professional degree","Female"
0,0.641618497109827,460,440,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.880597014925373,540,530,FALSE,"Never","Some College","High School Diploma or GED","Male"
1,0.85645933014354,550,580,FALSE,"Never","Some College","Some College","Male"
1,0.551724137931034,410,350,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
1,0.911111111111111,470,450,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
1,0.647840531561462,430,470,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.448398576512456,300,400,FALSE,"Passed","Bachelor Degree","Graduate/Professional degree","Female"
0,0.233918128654971,440,470,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.795986622073579,500,450,FALSE,"Never","Some High School","High School Diploma or GED","Female"
1,0.85,510,530,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.510344827586207,530,550,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.510344827586207,530,550,TRUE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.833333333333333,480,370,FALSE,"Never","Some High School","Some High School","Male"
1,0.97560975609756,500,510,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.655737704918033,390,360,FALSE,"Never","Bachelor Degree","Some College","Male"
0,0.829268292682927,460,490,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.829268292682927,460,490,TRUE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.697478991596639,440,400,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.529411764705882,500,520,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.581395348837209,450,370,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
1,0.295454545454545,440,470,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.47196261682243,410,340,FALSE,"Never","Graduate/Professional degree","Some High School","Male"
1,0.82258064516129,540,370,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.51219512195122,480,440,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.573913043478261,500,370,FALSE,"Never","Some College","Some College","Male"
1,0.625,440,470,FALSE,"Never","Some College","Some College","Female"
1,0.852941176470588,460,380,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.467836257309941,470,440,FALSE,"Never","Some College","Some College","Male"
0,0.467836257309941,470,440,TRUE,"Never","Some College","Some College","Male"
1,0.568627450980392,440,440,FALSE,"Passed","Some College","Some College","Female"
1,0.825641025641026,540,470,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.764705882352941,620,640,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.675675675675676,340,390,FALSE,"Never","Some College","Some College","Female"
1,0.751533742331288,560,510,FALSE,"Never","Some College","Some College","Female"
1,0.85897435897436,560,510,FALSE,"Never","Some College","High School Diploma or GED","Female"
1,0.489082969432314,480,480,FALSE,"Never","Some College","Graduate/Professional degree","Female"
0,0.506666666666667,490,500,FALSE,"Never","Some College","Some College","Male"
1,0.723684210526316,460,460,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.671232876712329,500,400,FALSE,"Never","Bachelor Degree","Some College","Male"
0,0.5,440,470,FALSE,"Never","Some High School","Some High School","Female"
0,0.53781512605042,530,500,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
0,0.320652173913043,440,520,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.620253164556962,560,540,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.475728155339806,530,560,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.234982332155477,500,510,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.456140350877193,500,490,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.322666666666667,460,590,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
0,0.793846153846154,500,410,FALSE,"Never","Some College","Graduate/Professional degree","Male"
1,0.845238095238095,440,510,FALSE,"Never","No High School","No High School","Male"
0,0.516666666666667,540,410,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.516666666666667,540,410,TRUE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.613095238095238,480,360,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Male"
1,0.954545454545455,550,570,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.641509433962264,420,490,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.631578947368421,380,410,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.80168776371308,450,460,FALSE,"Never","Not Available","Not Available","Male"
1,0.893617021276596,580,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.743243243243243,480,430,FALSE,"Never","Some College","Some College","Female"
0,0.702127659574468,420,410,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.702127659574468,420,410,TRUE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.924107142857143,480,590,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.936170212765957,600,480,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.599241466498104,490,530,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.599241466498104,490,530,TRUE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.646913580246914,530,540,FALSE,"Never","High School Diploma or GED","Graduate/Professional degree","Female"
0,0.646913580246914,530,540,TRUE,"Never","High School Diploma or GED","Graduate/Professional degree","Female"
1,0.816326530612245,630,540,FALSE,"Never","Some College","Some College","Male"
1,0.452054794520548,520,420,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.608695652173913,450,500,FALSE,"Never","Some College","Some College","Male"
0,0.613636363636364,460,650,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.671428571428571,500,430,FALSE,"Never","Some College","Some College","Female"
1,0.932291666666667,600,530,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.892086330935252,510,530,FALSE,"Never","Some College","Some College","Male"
1,0.785571142284569,550,580,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.866666666666667,620,600,FALSE,"Never","Some High School","Some College","Female"
1,0.711111111111111,560,490,FALSE,"Never","Some College","Some College","Male"
1,0.722222222222222,460,410,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.666666666666667,330,290,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.7,440,470,FALSE,"Never","Graduate/Professional degree","High School Diploma or GED","Male"
